discoveries	discoveries update
move	new or desired item at #Position{:x 72, :y 15}
look	examining tile {'x': 72, 'y': 15, 'glyph': '@', 'color': 'white', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 4, 'items': [], 'deaths': [(5, {'x': 72, 'y': 15, 'known': 4, 'first-known': 1, 'glyph': 'd', 'color': 'red', 'type': {'tags': {'hostile', 'nohands', 'carnivore', 'infravisible', 'animal'}, 'color': 'red', 'ac': 7, 'speed': 15, 'difficulty': 0, 'resistances': set(), 'name': 'fox', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 250, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'brown', 'first-walked': 7, 'walked': 7, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
pickup	getting desirable items
inventory	requested inventory update
look	examining tile {'x': 72, 'y': 15, 'glyph': '@', 'color': 'white', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 4, 'items': [{'label': 'a food ration', 'qty': 1, 'name': 'food ration', 'erosion': 0}], 'deaths': [(5, {'x': 72, 'y': 15, 'known': 4, 'first-known': 1, 'glyph': 'd', 'color': 'red', 'type': {'tags': {'hostile', 'nohands', 'carnivore', 'infravisible', 'animal'}, 'color': 'red', 'ac': 7, 'speed': 15, 'difficulty': 0, 'resistances': set(), 'name': 'fox', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 250, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': None, 'first-walked': 7, 'walked': 8, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 7}
move	new or desired item at {'x': 73, 'y': 13, 'glyph': '!', 'color': 'yellow', 'feature': None, 'seen': False, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '!', 'item-color': 'yellow', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	new or desired item at {'x': 73, 'y': 13, 'glyph': '!', 'color': 'yellow', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '!', 'item-color': 'yellow', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
look	examining tile {'x': 73, 'y': 13, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '!', 'item-color': 'yellow', 'first-walked': 10, 'walked': 10, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
autotravel	searching extremity #Position{:x 69, :y 13} | searching - max-iter = 2 | level not explored enough, searching | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 67, 'y': 14, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 66, 'y': 14, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 66, 'y': 15, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 66, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 65, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 64, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 63, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 62, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 61, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 60, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 59, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 58, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 57, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 56, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 55, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 55, 'y': 15, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 55, 'y': 14, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 53, 'y': 15, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 53, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 52, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 51, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 50, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 49, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 48, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 47, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 46, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 45, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 44, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 43, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 42, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 41, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 40, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 39, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 38, 'y': 16, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
move	exploring {'x': 38, 'y': 15, 'glyph': '#', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None} | using cached exploration step | first exploring main until branch entrance | exploring mines until minetown | full-explore | progress
farlook	examining monster
search	baiting monsters | targetting enemy {'x': 36, 'y': 13, 'known': 50, 'first-known': 50, 'glyph': 'o', 'color': None, 'type': {'tags': {'orc', 'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': None, 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'goblin', 'alignment': -3, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'o', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
search	baiting monsters | targetting enemy {'x': 36, 'y': 13, 'known': 51, 'first-known': 50, 'glyph': 'o', 'color': None, 'type': {'tags': {'orc', 'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': None, 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'goblin', 'alignment': -3, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'o', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	hitting {'x': 37, 'y': 14, 'known': 52, 'first-known': 50, 'glyph': 'o', 'color': None, 'type': {'tags': {'orc', 'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': None, 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'goblin', 'alignment': -3, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'o', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False} | targetting enemy {'x': 37, 'y': 14, 'known': 52, 'first-known': 50, 'glyph': 'o', 'color': None, 'type': {'tags': {'orc', 'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': None, 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'goblin', 'alignment': -3, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'o', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False}
move	hitting {'x': 37, 'y': 14, 'known': 52, 'first-known': 50, 'glyph': 'o', 'color': None, 'type': {'tags': {'orc', 'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': None, 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'goblin', 'alignment': -3, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'o', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False} | targetting enemy {'x': 37, 'y': 14, 'known': 52, 'first-known': 50, 'glyph': 'o', 'color': None, 'type': {'tags': {'orc', 'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': None, 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'goblin', 'alignment': -3, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'o', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
move	new or desired item at {'x': 37, 'y': 14, 'glyph': '%', 'color': None, 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 4, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': None, 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
