discoveries	discoveries update
inventory	requested inventory update
look	examining tile {'x': 72, 'y': 15, 'glyph': '@', 'color': 'white', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 4, 'items': [], 'deaths': [(5, {'x': 72, 'y': 15, 'known': 4, 'first-known': 1, 'glyph': 'd', 'color': 'red', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'red', 'ac': 7, 'speed': 15, 'difficulty': 0, 'resistances': set(), 'name': 'fox', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 250, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'brown', 'first-walked': 7, 'walked': 7, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 73, 'y': 13, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '!', 'item-color': 'yellow', 'first-walked': 10, 'walked': 10, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 37, 'y': 14, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': None, 'first-walked': 54, 'walked': 54, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 55, 'y': 5, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '$', 'item-color': 'yellow', 'first-walked': 88, 'walked': 88, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
move	hitting {'x': 41, 'y': 20, 'known': 123, 'first-known': 123, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'mindless', 'noeyes', 'nohead'}, 'color': 'bright-green', 'ac': 9, 'speed': 1, 'difficulty': 0, 'resistances': set(), 'name': 'lichen', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 20, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'touch', 'damage-type': 'stick', 'dices': 0, 'sides': 0}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False} | targetting enemy {'x': 41, 'y': 20, 'known': 123, 'first-known': 123, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'mindless', 'noeyes', 'nohead'}, 'color': 'bright-green', 'ac': 9, 'speed': 1, 'difficulty': 0, 'resistances': set(), 'name': 'lichen', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 20, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'touch', 'damage-type': 'stick', 'dices': 0, 'sides': 0}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False}
move	hitting {'x': 41, 'y': 20, 'known': 123, 'first-known': 123, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'mindless', 'noeyes', 'nohead'}, 'color': 'bright-green', 'ac': 9, 'speed': 1, 'difficulty': 0, 'resistances': set(), 'name': 'lichen', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 20, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'touch', 'damage-type': 'stick', 'dices': 0, 'sides': 0}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting enemy {'x': 41, 'y': 20, 'known': 123, 'first-known': 123, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'mindless', 'noeyes', 'nohead'}, 'color': 'bright-green', 'ac': 9, 'speed': 1, 'difficulty': 0, 'resistances': set(), 'name': 'lichen', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 20, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'touch', 'damage-type': 'stick', 'dices': 0, 'sides': 0}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 41, 'y': 20, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [(124, {'x': 41, 'y': 20, 'known': 123, 'first-known': 123, 'glyph': 'F', 'color': 'bright-green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'mindless', 'noeyes', 'nohead'}, 'color': 'bright-green', 'ac': 9, 'speed': 1, 'difficulty': 0, 'resistances': set(), 'name': 'lichen', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 20, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'touch', 'damage-type': 'stick', 'dices': 0, 'sides': 0}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'bright-green', 'first-walked': 125, 'walked': 125, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
look	examining tile {'x': 37, 'y': 6, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': 270, 'walked': 270, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
move	targetting leftover enemy {'x': 33, 'y': 13, 'known': 297, 'first-known': 296, 'glyph': ':', 'color': 'yellow', 'type': {'tags': {'nohands', 'amphibious', 'hostile', 'animal', 'carnivore', 'swim'}, 'color': 'yellow', 'ac': 8, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'newt', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 10, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	hitting {'x': 33, 'y': 13, 'known': 298, 'first-known': 296, 'glyph': ':', 'color': 'yellow', 'type': {'tags': {'nohands', 'amphibious', 'hostile', 'animal', 'carnivore', 'swim'}, 'color': 'yellow', 'ac': 8, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'newt', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 10, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting leftover enemy {'x': 33, 'y': 13, 'known': 298, 'first-known': 296, 'glyph': ':', 'color': 'yellow', 'type': {'tags': {'nohands', 'amphibious', 'hostile', 'animal', 'carnivore', 'swim'}, 'color': 'yellow', 'ac': 8, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'newt', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 10, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	hitting {'x': 33, 'y': 13, 'known': 299, 'first-known': 296, 'glyph': ':', 'color': 'yellow', 'type': {'tags': {'nohands', 'amphibious', 'hostile', 'animal', 'carnivore', 'swim'}, 'color': 'yellow', 'ac': 8, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'newt', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 10, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting leftover enemy {'x': 33, 'y': 13, 'known': 299, 'first-known': 296, 'glyph': ':', 'color': 'yellow', 'type': {'tags': {'nohands', 'amphibious', 'hostile', 'animal', 'carnivore', 'swim'}, 'color': 'yellow', 'ac': 8, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'newt', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 10, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 33, 'y': 13, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [(300, {'x': 33, 'y': 13, 'known': 299, 'first-known': 296, 'glyph': ':', 'color': 'yellow', 'type': {'tags': {'nohands', 'amphibious', 'hostile', 'animal', 'carnivore', 'swim'}, 'color': 'yellow', 'ac': 8, 'speed': 6, 'difficulty': 0, 'resistances': set(), 'name': 'newt', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 10, 'glyph': ':', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 20, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'yellow', 'first-walked': 301, 'walked': 301, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
move	targetting enemy {'x': 33, 'y': 10, 'known': 338, 'first-known': 338, 'glyph': 'r', 'color': 'brown', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'brown', 'ac': 7, 'speed': 12, 'difficulty': 0, 'resistances': set(), 'name': 'sewer rat', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'tiny', 'weight': 20, 'glyph': 'r', 'sounds': 'sqeek', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 3}], 'nutrition': 12, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': True, 'fleeing': None}
look	examining tile {'x': 33, 'y': 11, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'brown', 'first-walked': 297, 'walked': 345, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 42, 'y': 7, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': 72, 'walked': 449, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
farlook	examining monster
farlook	examining monster
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 42, 'y': 7, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'blue', 'first-walked': 72, 'walked': 453, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 449}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 21, 'y': 15, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': 496, 'walked': 496, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
search	baiting monsters | targetting enemy {'x': 19, 'y': 8, 'known': 506, 'first-known': 506, 'glyph': 'k', 'color': 'brown', 'type': {'tags': {'humanoid', 'omnivore', 'infravision', 'infravisible', 'hostile', 'poisonous', 'collect'}, 'color': 'brown', 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': {'poison'}, 'name': 'kobold', 'alignment': -2, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'k', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False}
move	hitting {'x': 18, 'y': 9, 'known': 507, 'first-known': 506, 'glyph': 'k', 'color': 'brown', 'type': {'tags': {'humanoid', 'omnivore', 'infravision', 'infravisible', 'hostile', 'poisonous', 'collect'}, 'color': 'brown', 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': {'poison'}, 'name': 'kobold', 'alignment': -2, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'k', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False} | targetting enemy {'x': 18, 'y': 9, 'known': 507, 'first-known': 506, 'glyph': 'k', 'color': 'brown', 'type': {'tags': {'humanoid', 'omnivore', 'infravision', 'infravisible', 'hostile', 'poisonous', 'collect'}, 'color': 'brown', 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': {'poison'}, 'name': 'kobold', 'alignment': -2, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'k', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False}
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 18, 'y': 9, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 2, 'items': [], 'deaths': [(508, {'x': 18, 'y': 9, 'known': 507, 'first-known': 506, 'glyph': 'k', 'color': 'brown', 'type': {'tags': {'humanoid', 'omnivore', 'infravision', 'infravisible', 'hostile', 'poisonous', 'collect'}, 'color': 'brown', 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': {'poison'}, 'name': 'kobold', 'alignment': -2, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'k', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'brown', 'first-walked': 405, 'walked': 509, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
